variant,basin_id,component,mean_component_discharge,component_weight,component_contribution_to_final_q,collapsed_near_zero,dominates_basin,mean_channel_loss_component,mean_gate_loss_component
Model6PhysicalFix_A_explicit_gate,1195100,4,1.9470460414886475,0.6197490096092224,0.2408772110939026,False,False,0.0956612154841423,0.004285402130335569
Model6PhysicalFix_A_explicit_gate,1333000,1,2.1556382179260254,0.10374461114406586,0.25463587045669556,False,False,0.010985540226101875,0.05726184323430061
Model6PhysicalFix_A_explicit_gate,1333000,2,2.0526111125946045,0.06579314917325974,0.2424650490283966,False,False,0.026834428310394287,0.00549385417252779
Model6PhysicalFix_A_explicit_gate,1333000,3,2.093447685241699,0.2982642352581024,0.24728934466838837,False,False,0.0059234751388430595,0.0061808484606444836
Model6PhysicalFix_A_explicit_gate,1333000,4,2.1637253761291504,0.5321980118751526,0.2555955648422241,False,False,0.007764630950987339,0.004273436963558197
Model6PhysicalFix_A_explicit_gate,1350000,1,2.619788408279419,0.10339882224798203,0.26003730297088623,False,False,0.007793428376317024,0.0588589571416378
Model6PhysicalFix_A_explicit_gate,1350000,2,2.450955390930176,0.053637899458408356,0.24327917397022247,False,False,0.03183811902999878,0.004869914148002863
Model6PhysicalFix_A_explicit_gate,1350000,3,2.4990627765655518,0.47631320357322693,0.24805408716201782,False,False,0.002265093382447958,0.005334856919944286
Model6PhysicalFix_A_explicit_gate,1350000,4,2.504688024520874,0.3666501045227051,0.24861718714237213,False,False,0.010232491418719292,0.003620814997702837
Model6PhysicalFix_A_explicit_gate,1350080,1,2.1890242099761963,0.10307510197162628,0.2562691569328308,False,False,0.007149120792746544,0.051900457590818405
Model6PhysicalFix_A_explicit_gate,1350080,2,2.0453720092773438,0.06235914304852486,0.23945122957229614,False,False,0.0381004624068737,0.004603858571499586
Model6PhysicalFix_A_explicit_gate,1350080,3,2.1775801181793213,0.4881893992424011,0.2549287974834442,False,False,0.004257750231772661,0.00588064594194293
Model6PhysicalFix_A_explicit_gate,1350080,4,2.1297695636749268,0.34637632966041565,0.24933657050132751,False,False,0.01829402707517147,0.0035942308604717255
Model6PhysicalFix_A_explicit_gate,1350140,1,2.136834144592285,0.09758390486240387,0.2597850561141968,False,False,0.004655713681131601,0.05639369785785675
Model6PhysicalFix_A_explicit_gate,1350140,2,1.9696329832077026,0.05569998919963837,0.23945733904838562,False,False,0.03285539895296097,0.005141619127243757
Model6PhysicalFix_A_explicit_gate,1350140,3,2.012061595916748,0.4888152778148651,0.2446155846118927,False,False,0.0015898010460659862,0.004910570103675127
Model6PhysicalFix_A_explicit_gate,1350140,4,2.106710195541382,0.35790085792541504,0.25612786412239075,False,False,0.00974174216389656,0.003666563192382455
Model6PhysicalFix_A_explicit_gate,1365000,1,2.9470150470733643,0.08957254886627197,0.26270419359207153,False,False,0.004897905047982931,0.07100221514701843
Model6PhysicalFix_A_explicit_gate,1365000,2,2.679514169692993,0.040267422795295715,0.23885802924633026,False,False,0.05039117857813835,0.005474582314491272
Model6PhysicalFix_A_explicit_gate,1365000,3,2.8036956787109375,0.4458385705947876,0.2499280720949173,False,False,0.001546364394016564,0.006600602064281702
Model6PhysicalFix_A_explicit_gate,1365000,4,2.7876064777374268,0.42432138323783875,0.24849757552146912,False,False,0.010011961683630943,0.003978075459599495
Model6PhysicalFix_A_explicit_gate,1411300,1,1.3036528825759888,0.14352358877658844,0.2435038983821869,False,False,0.005323005374521017,0.032735902816057205
Model6PhysicalFix_A_explicit_gate,1411300,2,1.1280004978179932,0.21226590871810913,0.2106938362121582,False,False,0.027384834364056587,0.004835434257984161
Model6PhysicalFix_A_explicit_gate,1411300,3,1.453446865081787,0.1955101191997528,0.2714831829071045,False,False,0.11733953654766083,0.006085284054279327
Model6PhysicalFix_A_explicit_gate,1411300,4,1.4684853553771973,0.4487003684043884,0.2742994725704193,False,False,0.13107930123806,0.004380578640848398
Model6PhysicalFix_A_explicit_gate,1413500,1,2.583125352859497,0.09325794130563736,0.262210488319397,False,False,0.006182646844536066,0.06703703105449677
Model6PhysicalFix_A_explicit_gate,1413500,2,2.3990867137908936,0.0390612818300724,0.24352853000164032,False,False,0.03589828312397003,0.005663873162120581
Model6PhysicalFix_A_explicit_gate,1413500,3,2.4124889373779297,0.5308171510696411,0.244889035820961,False,False,0.0018654002342373133,0.005510650109499693
Model6PhysicalFix_A_explicit_gate,1413500,4,2.45648193359375,0.33686360716819763,0.24935929477214813,False,False,0.010747620835900307,0.003686334937810898
