variant,basin_id,NSE,KGE,R2,FLV,FHV,low_flow_NSE,high_flow_NSE,bias,runoff_ratio_bias,observed_mean_q,simulated_mean_q,sim_obs_q_ratio,precip_runoff_ratio_obs,precip_runoff_ratio_sim,ET_P_ratio,extreme_channel_loss_flag,extreme_groundwater_loss_flag,near_zero_sim_discharge_wet_flag,lat,lon,area_km2,mean_abs_water_balance_error_mm_day,relative_error
Model6PhysicalFix_A_explicit_gate,4105700,-0.17244112491607666,0.3444933530861861,0.5622572347730446,-170.7995255255526,95.23298539828869,-7.0908403396606445,-1.3911018371582031,0.023395834490656853,0.02308514879109915,1.0134557485580444,1.0368515253067017,1.0230851487910992,2.731894598117003,2.670251406527636,0.524748827117401,False,False,False,42.35337,-85.35389,98.04,0.13859884440898895,0.05006000248237296
Model6PhysicalFix_A_explicit_gate,10310500,-0.15539181232452393,0.17457252717056226,0.7466081102802383,19.932607606963565,97.41280856441392,-2.934741497039795,-0.762392520904541,0.021828269585967064,0.0592863197470402,0.36818432807922363,0.39001262187957764,1.0592863197470401,4.139854990816053,3.908154975112129,0.4705488450521739,False,False,False,39.11324,-119.79824,39.49,0.027371209114789963,0.017957404008683668
Model6PhysicalFix_A_explicit_gate,8165300,-0.125588059425354,0.1636578709644665,0.16882815000969195,-21.147729678277305,-57.15758871643938,-71.68406677246094,-0.12358653545379639,0.11626380681991577,0.5904548071239321,0.19690553843975067,0.31316936016082764,1.590454807123932,11.174805061201177,7.026169862971598,0.7248707982654675,False,False,False,30.0641,-99.38699,435.99,0.06852538883686066,0.031142511613190812
Model6PhysicalFix_A_explicit_gate,6450500,-0.11128926277160645,0.5118108771520513,0.32450819546692716,50.76384712880813,-51.84501936858704,-4.109375476837158,-0.37148046493530273,-0.0020719128660857677,-0.020424030329156604,0.10144469887018204,0.09937278926372528,0.9795759696708434,14.418002299680854,14.718615681425572,0.762568030358957,False,False,False,43.60139,-100.74986,4111.27,0.039906736463308334,0.027284235717204283
Model6PhysicalFix_A_explicit_gate,4127997,-0.10106551647186279,0.4546215605448326,0.4928981864131855,-288.9003577785486,-6.031226192676473,-14.848067283630371,-0.38697636127471924,-0.04936026409268379,-0.04822668387491123,1.0235079526901245,0.9741475582122803,0.9517733161250888,2.4225448406733996,2.545295895983698,0.5281906867780543,False,False,False,45.27446,-84.60003,487.16,0.07090028375387192,0.028594660126128678
Model6PhysicalFix_B_soft_gate,7142300,-14.06637954711914,-2.7353220894880312,0.2040400253750128,37.83087031763393,3.06249555275371,-252.95867919921875,-17.11292266845703,0.03905698284506798,1.9626888422399704,0.019899731501936913,0.05895671248435974,2.9626888422399706,92.85186016070969,31.340400355413802,0.7944713174391186,False,False,False,37.87159,-98.87614,1819.94,0.02328919619321823,0.012604241124074135
Model6PhysicalFix_B_soft_gate,7301410,-7.6849212646484375,-1.4411959229199818,0.31410185230309917,71.83996139673948,50.413248078078944,-4.745906352996826,-9.60975456237793,0.01257298607379198,0.28736281331064767,0.04375298693776131,0.056325968354940414,1.2873628133106476,38.581546906866706,29.969442272222228,0.8296542165944696,False,False,False,35.4731,-100.12095,769.67,0.020953558385372162,0.012412820251356742
Model6PhysicalFix_B_soft_gate,6409000,-5.274998664855957,-0.827092617522881,0.3507502728690615,-27.497982915506665,-21.017399123946777,-141.59796142578125,-10.962313652038574,0.1635209321975708,0.8385860876848164,0.19499599933624268,0.3585169315338135,1.8385860876848164,9.010074502461897,4.900545083500692,0.5623631970003774,False,False,False,44.01359,-103.83048,205.33,0.04426928609609604,0.025196977678335924
Model6PhysicalFix_B_soft_gate,9306242,-3.9991583824157715,-1.467305318321411,0.259578642384552,-88.44118195186647,-43.08208245576547,-3674.978759765625,-3.375967502593994,0.06760843098163605,2.0027184048611266,0.03375832736492157,0.10136675089597702,3.0027184048611266,37.673144161254456,12.546346584048063,0.6789187045308346,False,False,False,39.92025,-108.47287,81.99,0.021858351305127144,0.01718717809827997
Model6PhysicalFix_B_soft_gate,9447800,-3.817650318145752,-0.511974795832588,0.11865313384095029,-72.21756857129512,-27.37316756365191,-15965.212890625,-1.4716806411743164,0.005584886763244867,0.30873608062822966,0.01808951608836651,0.02367440238595009,1.3087360806282298,55.037317598793244,42.053793233091106,0.8070224843312535,False,False,False,32.95562,-109.53119,781.96,0.006000669673085213,0.00602719903107898
Model6PhysicalFix_B_soft_gate,10172700,-3.743978977203369,-0.7837774967882523,0.5956168808463479,32.63018356575464,30.7933610407643,-39.79518508911133,-4.456631660461426,0.12097799777984619,0.9217221166133678,0.13125216960906982,0.2522301971912384,1.9217221166133678,10.626764340252194,5.529813555088149,0.6145510521387868,False,False,False,39.97939,-112.38023,69.93,0.04652012512087822,0.033352878690798386
Model6PhysicalFix_B_soft_gate,6784000,-3.307654857635498,-0.4587847652129331,0.23246130835831635,63.92221329857653,-82.56155731363835,-2.5017311573028564,-5.075594902038574,0.004029229748994112,0.045547681401129705,0.08846195042133331,0.09249118715524673,1.0455476814011297,20.114280648383016,19.2380335029038,0.7547203613973636,False,False,False,41.03244,-98.74053,6019.74,0.03382084146142006,0.019007428157068178
Model6PhysicalFix_B_soft_gate,5120500,-2.99894380569458,-0.39025301194881923,0.19785219355415096,79.16296388610856,0.025383390719374285,-272.75531005859375,-4.0329813957214355,0.015184978023171425,0.3378778986876745,0.04494220018386841,0.060127176344394684,1.3378778986876745,30.50878470818915,22.80386309012935,0.7259407258541506,False,False,False,48.13834,-100.53986,1509.83,0.018206419423222542,0.0132783860947284
Model6PhysicalFix_B_soft_gate,6408700,-2.4805357456207275,0.045268728631863486,0.07385662720613027,-434.7862648961444,-50.60284633343558,-45.610801696777344,-38.38210678100586,-0.25957244634628296,-0.3737573795107953,0.6944946646690369,0.43492215871810913,0.6262426204892046,2.6776261885950565,4.275700997775117,0.5251021205065108,False,False,False,44.13665,-103.85854,20.8,0.037796247750520706,0.02032496673859048
