model,basin_id,cumulative_precipitation_mm,mean_abs_daily_wb_residual_mm_day,max_abs_daily_wb_residual_mm_day,cumulative_relative_wb_error,external_loss_over_P
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6353000,6469.166015625,0.0001896961184684,0.0002347190165892,0.0001606613624547,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6354000,6454.80126953125,0.0001913102460093,0.0002339498751098,0.0001623890127381,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6360500,6793.08203125,0.0001931351725943,0.000235526531469,0.0001557743008376,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6404000,8416.9248046875,0.0001867919345386,0.0002345002721995,0.0001215922672229,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6406000,7848.8505859375,0.0001914760359795,0.0002350065915379,0.0001336625240702,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6408700,10188.732421875,0.0001689833734417,0.0002343093219678,9.087095726831108e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6409000,9626.2109375,0.0001690783246885,0.0002355798205826,9.623518157719604e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6431500,10994.904296875,0.0001648302277317,0.0002377408382017,8.213848503994482e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6440200,7257.99169921875,0.0001939079811563,0.0002535811217967,0.0001463795830491,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6441500,7245.34765625,0.0001913485320983,0.0002332581207156,0.0001446995594511,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6447000,7242.8359375,0.0001948114950209,0.0002350651775486,0.0001473693746598,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6447500,7878.6865234375,0.0001899548515211,0.0002409074513707,0.0001320984988794,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6450500,8013.74853515625,0.0001929650316014,0.0002338267950108,0.0001319301925519,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6452000,7584.56005859375,0.0001957666245289,0.0002354258031118,0.0001414195896912,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6453600,9447.8984375,0.0001898810296552,0.0002474342181812,0.0001101153015827,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6464500,8413.1484375,0.0001933019811986,0.0002349542046431,0.0001258864727564,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6468170,7333.892578125,0.0001888214173959,0.0002462138072587,0.0001410645933434,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6468250,7382.2900390625,0.000186313787708,0.0002441265969537,0.0001382786670935,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6470800,8847.7568359375,0.0001872468274086,0.0002425640122964,0.000115953163824,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6477500,9488.298828125,0.0001904087257571,0.0002501805429346,0.0001099511501024,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6479215,9984.4765625,0.000181528070243,0.0002390833542449,9.961386586189483e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6479438,9685.998046875,0.0001812620612327,0.0002371932932874,0.0001025330370513,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6601000,11599.83203125,0.0001896271278383,0.0002372034505242,8.95674187833141e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6614800,15635.5537109375,0.0001348718360532,0.0002273215941386,4.726169873959e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6622700,12647.021484375,0.0001453383883927,0.0002291841956321,6.29641528858813e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6623800,16167.8408203125,0.0001394105784129,0.0002303011133335,4.724381882859411e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6632400,12393.0927734375,0.0001476930192438,0.0002296887396369,6.529524766903889e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6746095,14866.72265625,0.0001395414437865,0.0002275001024827,5.142677401865856e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6784000,9749.05078125,0.0001926331606227,0.0002349216229049,0.0001082604975289,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6803510,11722.5634765625,0.0001914730091812,0.0002513499348424,8.949242308414429e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6803530,11858.48046875,0.0001900105853565,0.0002479832037352,8.779100835234175e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6814000,12952.0703125,0.0001897162437671,0.0002472684136591,8.0253987936268e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6847900,8353.6572265625,0.0002005874557653,0.0002585733891464,0.0001315613824177,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6853800,10575.939453125,0.0001906101097119,0.0002500876726116,9.874799061402504e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6876700,10841.87109375,0.0001953733008122,0.0002520511916372,9.87329859101352e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6878000,12049.943359375,0.0001962997339433,0.0002526768366806,8.925570896157124e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6879650,14248.7177734375,0.0001938411587616,0.0002309247793164,7.45369319446927e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6885500,13000.8125,0.0001922557130455,0.0002461218391545,8.102332413897734e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6888500,14505.298828125,0.0001917850313475,0.000230352350627,7.244181613544494e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6889200,13876.013671875,0.0001912356092361,0.0002477465604897,7.551015316745493e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6889500,14133.3876953125,0.0001906567049445,0.000249920762144,7.391066732686875e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6892000,15078.333984375,0.0001905296521726,0.0002484441210981,6.923257801430084e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6903400,15529.4052734375,0.0001814808783819,0.0002493460779078,6.402909361569983e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6906800,17435.3515625,0.0001903688389575,0.0002574094687588,5.982276034417393e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6910800,14805.275390625,0.0001926023978739,0.0002515445230528,7.127652125576049e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6911900,14824.13671875,0.0001917013287311,0.0002583596797194,7.085279989568125e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6917000,16487.9296875,0.0001935087930178,0.0002534158993512,6.430368675543678e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6918460,17368.802734375,0.0001944008981809,0.0002330511051695,6.132388636395869e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6919500,18028.70703125,0.0001917821355164,0.0002335123426746,5.828339958266834e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6921070,17784.48828125,0.0001900910865515,0.0002338676422368,5.856277761713857e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6921200,17927.16796875,0.0001909523998619,0.000233000726439,5.835992456915923e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,6934000,17570.2265625,0.0001891136635094,0.0002360529324505,5.89721361673512e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7014500,17777.919921875,0.0001889272243715,0.0002409945009276,5.822572570253917e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7056000,19463.03125,0.0001936046755872,0.0002433148038107,5.45012751397456e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7057500,17433.77734375,0.0001947532146004,0.0002318522310815,6.120606109318365e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7060710,20209.375,0.0001945766416611,0.0002410993620287,5.275202512704222e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7066000,17448.58203125,0.000196892346139,0.0002399502409389,6.182583426981232e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7067000,18226.341796875,0.0001958911016117,0.0002409204898867,5.888660378380265e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7068000,18157.00390625,0.0001920364011311,0.0002389475266681,5.794829483165555e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7071500,17728.501953125,0.0001962307578651,0.0002388105494901,6.064518857163793e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7083000,11314.7841796875,0.0001402651396347,0.0002287143870489,6.792111220377722e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7142300,10123.6962890625,0.0002025244175456,0.0002504644799046,0.0001096073280241,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7145700,14496.380859375,0.0001968623400898,0.0002513315121177,7.440538171287399e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7148400,10670.0625,0.0002013912453548,0.0002541221329011,0.0001034129501822,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7149000,10968.9423828125,0.0002004370762733,0.0002529612975195,0.000100118560207,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7151500,13276.412109375,0.000197044952074,0.0002519410045351,8.131784897682122e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7167500,15849.009765625,0.0001945316471392,0.0002523244183976,6.724955998845627e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7180500,14642.8095703125,0.0001984231494134,0.0002589731593616,7.42453463511306e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7184000,17529.091796875,0.0001930380094563,0.0002534869126975,6.0337137115792856e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7195800,18851.96875,0.0001961920788744,0.0002330824790988,5.7019847856638085e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7196900,19805.9765625,0.0001958552311407,0.0002382009261054,5.418015053769306e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7197000,19312.908203125,0.0001965436822501,0.0002352960582356,5.575870815085168e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7208500,8839.244140625,0.0001757638237904,0.0002294726727996,0.0001089470930068,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7226500,5871.9189453125,0.0002073596260743,0.0002481157716829,0.0001934841794291,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7261000,20670.716796875,0.0001939596550073,0.0002336347533855,5.141113059656439e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7263295,21506.697265625,0.0001939979410963,0.0002546707401052,4.94224992331689e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7290650,22236.947265625,0.0001958488719537,0.0002364429092267,4.8255543792582806e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7291000,22823.77734375,0.0001979412481887,0.0002408883010502,4.7517117136801336e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7292500,22622.115234375,0.0001979341759579,0.0002385688858339,4.793899011177498e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7295000,23036.0078125,0.0002016093640122,0.0002385691477684,4.7951785911554506e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7299670,9228.962890625,0.0002173649845644,0.000260274449829,0.0001290440516877,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7301410,9248.869140625,0.0002094506780849,0.0002508229808881,0.0001240779006114,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7301500,9506.970703125,0.0002045375149464,0.0002526876050978,0.0001178778241012,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7315200,11757.44140625,0.0002111110952682,0.0002587371272966,9.837835316075175e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7315700,13033.87109375,0.0002064149884972,0.0002550835488364,8.676990135539003e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7335700,22841.1875,0.0001934945903485,0.0002491871127858,4.641426030080922e-05,0.0
Model6Closed_Snow_aSrz_SIMHYD_Simple_LAIEco_full671,7340300,23234.02734375,0.000190908787772,0.0002335145545657,4.501971438283647e-05,0.0
